Company Name,Website,Logo URL,Opportunity Space,Overview,Problem,Solution ,Country,Funding Stage,Total funding (US$),Year Founded
DAV,https://dav.network/,https://dav.network/img/logo.png,Fleet Utilization,Blockchain-based platform for the transportation industry,Shipping a container is a very manual process which can take around 20 phone calls and 60 emails.,"Decentralized process which allows different entities to communicate directly without the need of a middleman; built-in smart mission contract, which enables trustless cooperation between multiple ships and service providers.",Switzerland,Series A,US$24.0m,2017
Blue Ocean Monitoring,https://www.blueoceanmonitoring.com,https://www.sut.org/wp-content/uploads/2018/02/blue_ocean_monitoring_newLogo_GradientDark-copy.jpg,Fleet Utilization,Provides ocean data,,Leaders in the planning and execution of offshore surveys using a wide range of  technologies including autonomous survey vehicles,Australia,Series B,Undisclosed,2014
Haven,https://haveninc.com/,https://haveninc.com/wp-content/uploads/2018/06/Haven-logo.svg,Freight Orchestration,Marketplace for ocean freight,Shipping a container is a very manual process which can take around 20 phone calls and 60 emails.,"Eliminate costly mistakes and save time by automating operations through electronic booking, automated RFQs, SmartTasks, tracking",USA,Series A,US$19.2m,2014
Ladingo,https://www.ladingo.com,https://www.ladingo.com/wp-content/uploads/elementor/thumbs/1-nyjccrcaqve7vj0beszvktjzhcg3tjnjahky9olm9c.png,Freight Orchestration,Online platform for e-tailers to book ocean shipping services,Shipping a container is a very manual process which can take around 20 phone calls and 60 emails.,Provide a complete logistics solution which helps to seamlessly ship large and bulky items around the globe,Israel,Seed,US$1.0m,2017
Nanol,www.nanol.eu,https://nanol.eu/wp-content/uploads/2015/06/logo_tag.png,Fuel Additives,Manufacturer of lubricant nano-additive component for fuels,"""The only possible way to achieve the so-much-needed decarbonization in our industry is by fully transforming to new carbon neutral fuels and supply chains"" - Maersk COO","Patented discovery and innovative lubricant additive, which reduces friction and wear of surfaces due to a thin protective layer formed by copper nanoparticles. Nanol® POWER+ MH is optimized for Marine engines operating with high sulphur fuel oil.",Finland,Seed,Undisclosed,2010
ionada,www.ionada.com,http://ionada.com/wp-content/uploads/2018/04/cropped-Ionada-V2-Logo-72-web-logo-english.png,Fuel Additives,Manufacturer and supplier of exhaust gas cleaning systems,"The IMO resolution MPEC.259 requires to remove sulfur oxides from marine exhaust gases which are a product of combustion consisting of nitrogen, carbon dioxide, water vapor and oxygen. The Ionada Dry Injection Desulfurization system utilizes a proprietary blend of nano porous chemical semi dry absorbents consisting primarily of sodium bicarbonate and zeolite catalysts which are nano porous materials highly effective at reacting with the sulfur oxides and form heat stable benign salts","Ionada’s mission is to provide emission abatement technologies that keeps air and waters clean, while providing financial benefit in the same time, ",Canada,Funded,Undisclosed,2013
Garanta,https://garanta.com.br/,https://garanta.com.br/wp-content/uploads/2019/11/Logo-sem-frase-com-trasparencia-1536x513.png,Green Freight,Online booking platform for multimodal freight transport,Freight operations lack of efficiency which results in large opportunity costs with more than 20% of transportation and port handling wasted on empty containers,"Through its multimodal booking platform, Garanta provides the best options in freight negotiations and neutralization of greenhouse gases and compliance to governments NPCC (National Policies on Climate Change)",Brazil,Unfunded,Undisclosed,2017
Timbercoast,https://timbercoast.com/en/,https://timbercoast.com/wp-content/uploads/timbercoast-cargoundersail-logo-1-1.png,Green Freight,Wind-powered cargo shipping,"Shipping emissions are responsible for more than 2.2% of global CO2 emissions, which are expected to increase by more 3.8% annualy in the coming years; the maritime industry alos generates more than 15 percent of global nitrogen oxide emissions","With a cargo carrying capacity of 114dwt and 135 cubic meters, fully insured, Timbercoast allows the transportation of goods through traditional sailing which results in a carbon neutral transportation solution",Germany,Unfunded,Undisclosed,2014
Orange EV,https://www.orangeev.com,https://secureservercdn.net/166.62.110.90/004.14a.myftpupload.com/wp-content/uploads/2019/05/Orange-EV-Logo.png,In-Port Vessel Time Reduction,Electric terminal trucks for industrial applications,"According to the OECD shipping emissions in ports accounts for 18 million tonnes of CO2 emissions, 0.4 million tonnes of NOx, 0.2 million of SOx and 0.03 million tonnes of PM10 in 2011","Orange EV provides intermodal, LTL freight, and container handling operations EV vehicles, which can be used in ports; charge in only 2 hours for 24 hours of operations - for heavy use saving estimated at $50k per truck annualy along with carbon emission reduction",USA,Seed,US$0.2m,2012
HySiLabs,www.hysilabs.com,https://hysilabs.com/wp-content/uploads/2019/09/logo-fond-blanc-326.png,New Fuel Types,Technology developer for safe storage and transportation of hydrogen," The IMO has looked at fuel cells as part of its Carriage of Cargoes and Containers Sub-Committee, with a view to including safety provisions in the International Code of Safety for Ships using Gases or other Low- flashpoint Fuels (IGF) code. Together, the 90,000 ships worldwide burn 370 million tons of fuel each year – and produce 20 million tons of sulfur oxide.","By switching to low-carbon hydrogen in the mobility and industry sectors, 70 Mtons of CO2 emissions could be avoided in 2030. HySiLabs developed an innovative solution to facilitate hydrogen (H2) transportation, by charging and releasing hydrogen in a unique liquid carrier (HydroSil) which remove all barriers hindering deployment of hydrogen solutions such as safety or regulations",France,Series A,US$2.2m,2015
One Scientific,www.onescientific.com,https://images.squarespace-cdn.com/content/58bf4fe82994ca368859a8c5/1579803138923-P2VWOKESVSWJVB7MYSVA/OS_Logo_side_RGB_800px.png?format=750w&content-type=image%2Fpng,New Fuel Types,Fuel cell technology developer," The IMO has looked at fuel cells as part of its Carriage of Cargoes and Containers Sub-Committee, with a view to including safety provisions in the International Code of Safety for Ships using Gases or other Low- flashpoint Fuels (IGF) code. Together, the 90,000 ships worldwide burn 370 million tons of fuel each year – and produce 20 million tons of sulfur oxide.","Through its MHD Hydrogen technology which leverages enthalpy, magnetic fields, and catalyst reactions to dissociate steam, and then isolates hydrogen and oxygen using a unique cyclonic gas separator, OneScientific generates up to 75% cost savings vs. traditional electrolysis, with no CO2 emissions ",USA,Seed,US$0.5m,2014
TEGma,www.tegma.no,http://tegma.no/wp-content/uploads/2018/04/TEGma-LOGO_original_165.jpg,New Vessel Design,Developer of thermoelectric generators,60% of global primary energy consumption is lost as waste heat,"Tegma transforms waste heat into useful energy reducing in the same time carbon footprint, shipping fuel consumption and energy costs through the use of thermoelectric materials",Norway,Funded,Undisclosed,2012
Blue Technology,https://bluetechnology.dk/,https://images.squarespace-cdn.com/content/v1/56a0c84dfb36b1be19213613/1529944876138-O2G7PAJMFRPKEV2S3IK7/ke17ZwdGBToddI8pDm48kLz4J9SjPM2Z1vtDsourGaIUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYwL8IeDg6_3B-BRuF4nNrNcQkVuAT7tdErd0wQFEGFSnBay0Aodpo-6XIXU-9lgAUer0i85naGRh-PBcyK7Fx95xVGVgNRFxwPGt9wSoJgeVQ/Bluetechnology+logo+kopi.jpg?format=750w,New Vessel Design,No Fossil for ship propulsion,"Shipping emissions are responsible for more than 2.2% of global CO2 emissions, which are expected to increase by more 3.8% annualy in the coming years; the maritime industry alos generates more than 15 percent of global nitrogen oxide emissions","Liberty designs a full suite of solutions for zero emission shipps such as wing sail, lightweight hull, retractable propellers, storage for the energy harvested from solar cells and the retractable propellers paired with hydrogen for longer routes",Denmark,Unfunded,Undisclosed,2008
Awake,https://awake.ai/,https://awake.ai/wp-content/uploads/2019/03/2018-Awake-Ai-COLOR-FULL-WHITE-TEXTLINE@2x.png,Port-Side Analytics,AI-enabled collaborative platform for automated port and shipping operations,"Standardisation of IT systems, uniformisation of procedures, common portals, master data structures, common database would result to an increase in ports operational efficency by 20 to 30%","Through its collaborative open data platform, Awake.ai optimizes port & ship operations which results in global shipping emissions reduction. Awake.ai also provides transparency to the logistics chain and creates synergies and new opportunities to the maritime industry",Finland,Unfunded,Undisclosed,2017
Freightos,https://www.freightos.com,https://www.freightos.com/wp-content/themes/freightos/assets/svg/logo-black.svg,Switching Transport Mode,Online marketplace for freight transportation,Transporting freight by road accounts for around 7% of global CO2 which could be reduced by alternate means such as rail or water,"Freight comparison, booking and management platform between trucking, ocean and air from more than 75 providers - includes on demand tracking and live updates",USA,Series C,US$92.7m,2012
Plasma Stream Technologies,http://plasmastreamtech.com/,http://plasmastreamtech.com/wp-content/uploads/2015/05/logo.png,Vessel Flow Efficiency,Product for reducing drag in automobiles,Lack of aerodynamism in freight vehicles generates a low velocity vortex which results in draging vehicles and increasing energy consumption and carbon footprint,"Plasma Stream has built a solution applicable in multiple industries to eliminate dragging behind vehicles, this would result in 15% fuel savings on truck alone",USA,Seed,US$0.5m,2015
